drug,condition,review,effect,rating
COZAAR,Hypertension,{''},"Dizzyness, fast heart rate, insomnia, tiredness, weakness in my arms and legs, bresthlesness, the worsf was the burning sensation in my throat and esophagus, erratic emotions. It was like I was wide awake but tired and bresthless. I tried to run and thoughgt I was going to die. This is not the medication for me.",1
COZAAR,high blood pressure,{''},"Body feels HUGE. Restless legs pain in knees and lower legs. Started on 100mg got a rash, severe itching, hair loss, no energy. Dr cut it back to 50mg and no improvement getting worse. Used to work out 3-5 times a week. Now lucky if I can stay in the elliptical for 15 minutes. If I skip this medication for a day, I don't feel as swollen until about 5 or 6 hours after I take it again. Insurance will no longer cover divan but I am not staying on this.",2
COZAAR,High Blood Pressure,"{'believe it or not, helps with ED issues'}",awful insomnia & muscle aches,3
COZAAR,blood presssure,{''},constant headache and upset stomach terribl meds took 2 years to realize this.....went to many doctors.....,2
COZAAR,high bliod pressure,{''},Hair loss.severe panic attacks.big Johnson stopped working.this crap sends me to the Er.,1
COZAAR,hypertension,"{""I'm going to go off of Cozaar for awhile to see if can shake this\nphlegm from Altace. and shake some of this weight off.""}","Bloating, gas, phlegm unable to cough up since on ramipril, weight gain that will not go away with exercise, sore on tongue",3
COZAAR,lower blood pressure,{''},"Swelling in feet and legs, retaining fluid. Restless at bedtime. Has stirred up my A-Fib. Has not lowered my blood pressure.",2
COZAAR,high blood pressure,"{""I've used cozaar/ potassium losartan for about 2 yrs. Had constant side effects..Cozaar really made me ill. I informed the Doctors but all dismissed the side effects. Eventually12/09/2013 admitted into hospital for Gastroscopy endoscopy. Had six biopsy's now got Barrett's oesophagus due to constant burning of throat,also erosive gastritis caused by acid formed from Cozaar.\nI took myself off Cozaar for 3weeks now and feel so much better.Why don't the Doctors listen when patients complain about side effects it could save unnecessary anguish and pain.""}","Burning throat and gullet. sore stomach, lower back pain, numbness of heel and toes, Insomnia,fatigue.nausea,headache, Constipation/Diarrhoea, Tinnitus. Acid reflux Severe.Scalp Itch..",1
COZAAR,Hypertension,{''},Pain in shoulders and calves,4
COZAAR,Hypertension,{''},"Worst drug ever! Short of breath, rapid heart rate... These two side effects are worsened when i try to take any type of medication--whether RX or OTC. And I have been off this horrible drug for four months--I pray it will go away....",1
COZAAR,High blood pressure,"{'50 mg once daily lowered blood pressure. After several years, BP increased. Doubling the dose to 100 mg did not make any improvement over 50 mg -- had to add a second medication (HCTZ). Improved libido.'}",Slight depression.,4
COZAAR,^ Bp,{''},3 days no problems as of yet....bp up and down but 1 good ready 124/76 I haven't seen that lately. I'm a herbal person so this is all new to me taking prescribe meds on a daily basis...and your reviews are scary.....I'm recording my bp and what I was doing @ the time and date. Give to my doctor so he can see bp pattern and eat a balance healthy diet...exercise...and pray to control bp and get off of meds totally.,4
COZAAR,Hypertension,"{""Beware, the side effects of this medication will sneak up on you.\nI started at 25mg once a day and went up to 50mg a week ago. At first i tolerated this med well. Then I started experiencing problems with my digestive system (cramps, nausea, lack of appetite.) Then I developed a pain in my right low back in the location of my kidney. When I went up to 50 mg, I started experiencing rapid heartbeat after the second dose. Last night, my heart was beating so rapidly I was afraid I was going to have a stroke, so I had to lay in bed and take deep breaths until my heartbeat seemed to slow down and I eventually went to sleep. As I write this I am resting and discontinuing this nasty medication. Earlier in the day, I was out shopping when I suddenly became pale white and felt like I was going to faint. As I have experienced hypoglycemic symptoms in the past (but under control for many years) the only thing I could think of to do was ingest sugar immediately. Surprise, the symptoms gradually alleviated and I made it home (just barely.) I am continuing to take glucose tabs but am feeling better. Be VERY careful with this med and don't drive until you know how it will affect you.""}","Low back pain, Increased urination, hypoglycemia, cramps, anxiety and depression.",1
COZAAR,hypertension,"{'Tried metoprolol, lisinopril, HCTZ, and diltiazem before trying this one and having no gi side effects. Worked for me versus the others.'}",Possible vivid nightmares. Hard to discern if this medicine is the cause.,4
COZAAR,Hypertension,"{'BP did not lower while taking Cozaar, it increased. Changed to Losartan (ARB) because ACE did not suit me and found it even worse.'}","Tachycardia (rapid pulse) 135 bpm requiring hospitalisation, hot sweats, flushing, skin rash, anxiety, panic attacks, irritability and insomnia.",1
COZAAR,Hypertension,{''},"Severe Depression, I am crying and irritable which is not normal for me. I just threw the bottle in the trash. The first day or two on it and its not so bad, but after 2 days I am a crying mess and hanging up on friends when they call. I actually am having this problem with several of the blood pressure medications.",1
COZAAR,I was on Norvasc 0.5 mgs. for years,{''},,3
COZAAR,hypertension,{''},several times taking Losartan I have had rapid pulse rate of 127,4
COZAAR,hypertension,"{'Even 25 mg. of Losartan potassium has caused fatigue, worsened ankle swelling and weight gain.'}","Shortly after upping my dose from 25 mg. to 50 mg. I developed excruciating patellar tendonitis in both knees. Upping the dose was the only variable , so I cut back to 25 mg. and after 5 weeks the pain is completely gone.",2
COZAAR,High Blood Pressure,"{""I went on cozaar because it was cheaper than Diovan; but I could not deal with the dizziness. It was so bad sometimes I couldn't leave the house. Switched to Atacand, but still having the same problems. Not sure if they are caused by the Cozaar still being in my system or the Atacand. I am going back to Diovan because I never had any problems with it. Too bad it is so expensive---""}","Extreme vertigo/dizziness, swollen feet, feelings of doom",1
COZAAR,Hypertension,"{'It does help lower my diastolic reading by about 15 but not much for my systolic. I had hell while taking both the generic and original versions of this med. Decided I had it with the anxiety and depression, so I stopped taking it.\nTrying a natural approach to it.'}","Anxiety, Depression, Random Musoskeletal Pains, Headaches, Discomfort, Pelvic Pain, Abdominal Pain",2
COZAAR,Blood Pressure,{''},I suffered a TIA in early Sept 2012 and was prescribed Ramapril at first. I suffers many uncomfortable side effects from depression to vertigo type symptoms. Over Christmas I decided to stop taking the BP pill and low and behold my life returned to normal. I explained to the doctor what I'd done and she prescribed Lorsatan manufactured by Dexcel Pharms. One hour after taking the first pill I suffered the worst dizzy spell I had ever experienced. I will keep trying this pill and see how I progress.,2
COZAAR,High blood pressure,"{""I was using Lispiral but the coughing was disturbing everyone at work so dr. switched to generic Cozaar. I took the first pill and within 2 hours, I felt like I had the worst head cold ever. I'm afraid to continue with it but I might cut pill in half. Just a couple months ago my BP was 100/70 so this is very sudden.""}","Dizzy, cough, sore throat that affects my ears,complete nasal blockage, lungs are now congested, burning glassy eyes, fever, chills",1
COZAAR,Borderline High Blood Pressure,"{""After going off Losartan, I experienced bad anxiety, headaches and tension which lasted for about a month. Reduced salt intake, did acupuncture, massage, and yoga. Now my blood pressure is normal, I'm 10 lbs lighter and I feel great. Don't let your Doctor put you on blood pressure meds until you've tried altering your diet. There's a lot of salt in restaurant food and processed food; try eliminating sodium first.""}","Leg pain, neck/shoulder pain, headaches",1
COZAAR,hypertension,{''},Great med highly recomend,5
COZAAR,Sudden Onset Hypertension,"{""Given this medication for a sudden onset of hypertension. One of my MS medications has given me some hypertensive issues. So far other than stomach aches it seems to be helping me. BPs are not where they should be but they are coming down. It's only been 10 days so giving it a chance.""}","So far just stomach aches which I can only trace back to this medication. Other than that, nothing really",3
